Node,Curvature
272,-1.5
273,-1
274,0
275,0
276,0.333333
277,0.333333
278,-1.33333
279,-0.333333
280,0.166667
281,-0.333333
282,0.333333
283,-0.166667
284,-0.833333
285,0.333333
286,0
287,0
288,0
289,-1
290,-1.33333
291,0.333333
292,-0.666667
293,-1.66667
294,-0.333333
295,-0.166667
296,-2.83333
297,-0.166667
298,-1
299,0
300,-1.83333
301,0.333333
302,0.333333
303,-0.5
304,-0.666667
305,0
306,0.333333
307,-0.833333
308,0.166667
309,-0.166667
310,0.333333
311,0.166667
312,0.166667
313,0
314,-1.16667
315,0.166667
316,0
317,0.333333
318,-0.166667
319,-0.166667
320,0
321,-1.5
322,-0.666667
323,-0.166667
324,0.166667
325,0.333333
326,0
327,-0.166667
328,-0.166667
329,-0.166667
330,-0.333333
331,-0.5
332,0.166667
333,0.333333
334,-0.333333
335,0
336,0
337,0.333333
338,0.333333
339,0.333333
340,0.166667
341,0.333333
342,-0.833333
343,-0.166667
344,0.333333
345,0.166667
346,-0.5
347,-0.333333
348,-1.16667
349,0.166667
350,0.166667
351,-0.166667
352,0
353,-0.166667
354,0.333333
355,0.166667
356,-1
357,0
358,-0.5
359,0
360,0.166667
361,0
362,-1
363,-0.166667
364,0.166667
365,0.166667
366,-1.16667
367,-1
368,0.333333
369,0.166667
370,0.166667
371,0.333333
372,0.166667
373,0.166667
374,-0.833333
375,0
376,0
377,0.333333
378,-0.833333
379,-0.333333
380,-2
381,-1.16667
382,0.333333
383,-0.166667
384,0.166667
385,-1.16667
386,-0.166667
387,0.333333
388,0.166667
389,0
390,0.333333
391,-0.833333
392,-0.166667
393,0
394,-0.166667
395,0.333333
396,0.333333
397,0.333333
398,-0.5
399,0.333333
400,0.333333
401,0.166667
402,0.166667
403,0
404,-1.16667
405,-0.5
406,0.333333
407,-0.666667
408,0
409,0.166667
410,-0.166667
411,-0.833333
412,0.333333
413,-0.5
414,0.166667
415,0.166667
416,-0.333333
417,0
418,-0.333333
419,0.166667
420,0
421,0.166667
422,0.333333
423,0.333333
424,-0.5
425,-0.5
426,0
427,0
428,0.166667
429,0
430,-0.333333
431,0.166667
432,0
433,0.166667
434,0.166667
435,0.333333
436,-0.166667
437,0.333333
438,-0.5
439,0.333333
440,-0.333333
441,-0.833333
442,-0.166667
443,0.333333
