Source,Target,Energy,NumTriangles
92,152,15,2
92,176,11,2
92,446,13,2
92,559,11,1
92,980,11,1
93,94,10,2
93,96,7,2
93,112,5,2
93,317,9,1
93,369,10,1
94,153,13,1
94,369,12,2
94,478,9,2
94,886,14,1
95,143,15,2
95,202,18,1
95,355,13,2
95,392,13,1
96,112,4,2
96,158,10,2
96,186,11,2
96,261,11,2
96,582,8,2
96,700,8,1
96,841,18,1
97,217,11,2
97,895,12,1
98,101,22,2
98,393,11,1
98,525,19,1
99,106,13,2
99,131,10,2
99,150,11,2
99,165,19,2
99,235,15,2
99,266,19,1
99,565,12,2
99,922,14,1
100,102,21,2
100,123,15,2
100,148,25,1
100,352,20,2
100,763,17,2
100,785,15,1
101,206,20,2
101,297,23,2
101,325,19,2
101,444,18,1
101,525,25,1
102,352,19,1
102,665,16,1
103,208,12,2
103,223,14,2
103,279,15,2
103,298,13,2
103,417,16,1
103,524,10,1
104,118,12,1
104,747,16,1
105,205,19,2
105,343,16,1
106,150,8,2
106,174,8,2
106,262,12,2
106,412,12,2
106,623,14,2
106,654,12,2
106,677,5,2
106,793,10,2
106,874,11,1
106,913,11,1
107,109,18,2
107,225,13,2
107,336,17,2
107,583,18,1
107,902,13,1
108,115,11,2
108,296,14,2
108,433,9,2
108,530,15,1
108,602,13,2
108,818,13,1
109,172,21,2
109,246,14,2
109,334,15,1
109,583,20,1
110,139,20,2
110,221,16,2
110,229,20,1
110,453,15,1
111,151,7,2
111,180,11,2
111,193,8,2
111,597,12,2
111,772,6,1
111,900,7,1
112,186,9,2
112,216,11,2
112,317,6,2
112,354,9,2
112,389,9,1
112,751,7,1
113,169,26,2
113,589,27,1
113,709,25,1
114,498,12,2
114,630,11,1
115,128,11,2
115,173,12,2
115,184,6,2
115,272,11,2
115,296,13,2
115,345,14,2
115,451,11,1
115,690,14,2
115,927,18,1
116,154,20,2
116,503,17,1
116,646,19,1
117,129,19,2
117,190,11,2
117,212,14,2
117,240,18,2
117,241,15,2
117,361,15,2
117,438,13,2
117,462,13,2
117,791,16,1
117,794,13,1
118,138,12,2
118,555,10,2
118,921,7,1
119,149,13,2
119,712,9,2
119,722,13,1
120,122,15,2
120,177,9,2
120,192,9,2
120,505,7,1
120,528,10,2
120,743,13,1
121,146,13,1
121,183,14,2
121,557,17,1
122,124,19,1
122,177,16,1
123,148,18,1
125,214,19,1
125,333,16,2
125,404,16,2
125,454,17,2
125,571,22,1
126,207,10,2
126,243,13,2
126,344,10,2
126,346,9,2
126,363,15,2
126,547,9,2
126,660,9,1
126,770,10,1
127,203,11,1
127,277,11,2
127,291,9,2
127,761,13,1
128,156,12,2
128,173,13,2
128,265,13,2
128,330,14,2
128,391,12,2
128,439,16,1
128,537,13,1
129,190,14,2
129,197,20,2
129,327,19,2
129,379,17,2
129,398,15,2
129,467,20,1
129,643,14,1
130,821,16,1
